id_comarca,comarca_corrigido,comarca_tjsp,id_cj,entrancia
3517000,Getulina,Getulina,35,Entrância Inicial
3517406,Guaíra,Guaíra,14,Entrância Inicial
3518206,Guararapes,Guararapes,36,Entrância Inicial
3518305,Guararema,Guararema,45,Entrância Inicial
3518404,Guaratinguetá,Guaratinguetá,48,Entrância Final
3517703,Guará,Guará,40,Entrância Inicial
3518602,Guariba,Guariba,42,Entrância Inicial
3518701,Guarujá,Guarujá,1,Entrância Final
3518800,Guarulhos,Guarulhos,44,Entrância Final
3519071,Hortolândia,Hortolândia,53,Entrância Final
3519105,Iacanga,Iacanga,13,Entrância Inicial
3519303,Ibaté,Ibaté,12,Entrância Inicial
3519600,Ibitinga,Ibitinga,13,Entrância Intermediária
3519709,Ibiúna,Ibiúna,19,Entrância Intermediária
3519907,Iepê,Iepê,27,Entrância Inicial
3520103,Igarapava,Igarapava,40,Entrância Inicial
3520301,Iguape,Iguape,21,Entrância Inicial
3520442,Ilha Solteira,Ilha Solteira,37,Entrância Inicial
3520400,Ilhabela,Ilhabela,51,Entrância Inicial
3520509,Indaiatuba,Indaiatuba,20,Entrância Final
3520905,Ipaussu,Ipaussu,25,Entrância Inicial
3521309,Ipuã,Ipuã,40,Entrância Inicial
3521705,Itaberá,Itaberá,49,Entrância Inicial
3521804,Itaí,Itaí,24,Entrância Inicial
3521903,Itajobi,Itajobi,15,Entrância Inicial
3522109,Itanhaém,Itanhaém,56,Entrância Final
3522208,Itapecerica da Serra,Itapecerica da Serra,52,Entrância Final
3522307,Itapetininga,Itapetininga,22,Entrância Final
3522406,Itapeva,Itapeva,49,Entrância Final
3522505,Itapevi,Itapevi,52,Entrância Final
3522604,Itapira,Itapira,7,Entrância Intermediária
3522802,Itaporanga,Itaporanga,49,Entrância Inicial
3523107,Itaquaquecetuba,Itaquaquecetuba,45,Entrância Final
3523206,Itararé,Itararé,49,Entrância Inicial
3523305,Itariri,Itariri,56,Entrância Inicial
3523404,Itatiba,Itatiba,5,Entrância Intermediária
3523503,Itatinga,Itatinga,23,Entrância Inicial
3522703,Itápolis,Itápolis,13,Entrância Inicial
3523602,Itirapina,Itirapina,9,Entrância Inicial
3523909,Itu,Itu,20,Entrância Final
3524006,Itupeva,Itupeva,5,Entrância Inicial
3524105,Ituverava,Ituverava,40,Entrância Intermediária
3524303,Jaboticabal,Jaboticabal,42,Entrância Final
3524402,Jacareí,Jacareí,46,Entrância Final
3524600,Jacupiranga,Jacupiranga,21,Entrância Inicial
3524709,Jaguariúna,Jaguariúna,54,Entrância Intermediária
3524808,Jales,Jales,55,Entrância Final
3525003,Jandira,Jandira,4,Entrância Intermediária
3525102,Jardinópolis,Jardinópolis,41,Entrância Inicial
3525201,Jarinu,Jarinu,6,Entrância Inicial
3525300,Jaú,Jaú,33,Entrância Intermediária
3525706,José Bonifácio,José Bonifácio,16,Entrância Inicial
3525904,Jundiaí,Jundiaí,5,Entrância Final
3526001,Junqueirópolis,Junqueirópolis,29,Entrância Inicial
3526100,Juquiá,Juquiá,21,Entrância Inicial
3526407,Laranjal Paulista,Laranjal Paulista,34,Entrância Inicial
3526704,Leme,Leme,11,Entrância Intermediária
3526803,Lençóis Paulista,Lençóis Paulista,32,Entrância Intermediária
3526902,Limeira,Limeira,10,Entrância Final
3527108,Lins,Lins,35,Entrância Final
3527207,Lorena,Lorena,48,Entrância Intermediária
3527306,Louveira,Louveira,5,Entrância Inicial
3527405,Lucélia,Lucélia,30,Entrância Inicial
3528007,Macatuba,Macatuba,33,Entrância Inicial
3528106,Macaubal,Macaubal,16,Entrância Inicial
3528403,Mairinque,Mairinque,19,Entrância Intermediária
3528502,Mairiporã,Mairiporã,44,Entrância Inicial
3528809,Maracaí,Maracaí,26,Entrância Inicial
3529005,Marília,Marília,31,Entrância Final
3529203,Martinópolis,Martinópolis,27,Entrância Inicial
3529302,Matão,Matão,13,Entrância Intermediária
3529401,Mauá,Mauá,3,Entrância Final
